Date,BYD,Tesla,NIO,Notes
2024-01-01,201493,71447,10055,
2024-02-01,122311,60365,8132,Chinese New Year
2024-03-01,302459,89064,11866,
2024-04-01,313245,62167,15620,
2024-05-01,331817,61662,20544,
2024-06-01,341658,71007,21209,
2024-07-01,342383,74117,20498,
2024-08-01,373083,86697,20176,
2024-09-01,419426,88321,21181,
2024-10-01,502657,68280,20976,
2024-11-01,506804,78856,20575,
2024-12-01,514809,93766,31138,
2025-01-01,300538,63238,13863,
2025-02-01,283252,60480,13192,Chinese New Year
2025-03-01,513703,74127,15039,
2025-04-01,692667,58459,23900,
2025-05-01,884566,61662,23231,
